dummy;;;;;;;;;x
NAN;Nanjing;;;;;;;;;x
NAN_ADJ;Nanjing;;;;;;;;;x
FSA;Free States of America;;;;;;;;;x
FSA_ADJ;Free American;;;;;;;;;x
PAK;Pakistan;;;;;;;;;x
PAK_ADJ;Pakistani;;;;;;;;;x
MGH;Mughal Empire;;;;;;;;;x
MGH_ADJ;Mughal;;;;;;;;;x
AEG;Aegean Republic;;;;;;;;;x
AEG_ADJ;Aegean;;;;;;;;;x
AEG_hms_government;Aegean Kingdom;;;;;;;;;x
AEG_prussian_constitutionalism;Aegean Kingdom;;;;;;;;;x
AEG_absolute_monarchy;Aegean Kingdom;;;;;;;;;x
NORMAL_WAR_NEGOTIATE_NAME;Negotiated Transfer;;;;;;;;;x
NORMAL_WAR_ITALY_REUNIFY_NAME;War of Italian Unification;;;;;;;;;x
NORMAL_WAR_CHINA_REUNIFY_NAME;War of Chinese Reunification;;;;;;;;;x
italy_must_come_together;Italian Unification;;;;;;;;;x
china_must_come_together;Chinese Reunification;;;;;;;;;x
italy_must_come_together_short;Acquire Italian State $STATE$;;;;;;;;;x
china_must_come_together_short;Acquire Chinese State $STATE$;;;;;;;;;x
italy_must_come_together_setup;Italian Unification;;;;;;;;;x
china_must_come_together_setup;Chinese Reunification;;;;;;;;;x
italy_must_come_together_desc;Italian Unification;;;;;;;;;x
china_must_come_together_desc;Chinese Reunification;;;;;;;;;x
caucasian;Caucasian;;;;;;;;;x
ruthenian;Ruthenian;;;;;;;;;x
mountain_german;Alpine German;;;;;;;;;x
DAN;Danubia;;;;;;;;;x
DAN_ADJ;Danubian;;;;;;;;;x
big_country_leadership;Leadership buff for large nations;;;;;;;;;x
PRB;Portugal-Brazil;;;;;;;;;x
PRB_ADJ;Porto-Brazilian;;;;;;;;;x
ethiopian;Ethiopian;;;;;;;;;x
deep_defense;Deep Defense;;;;;;;;;x
modern_defense;Modern Defense;;;;;;;;;x
modern_divisional_tactics;Modern Divisional Tactics;;;;;;;;;x
statistical_mobilization;Statistical Mobilization;;;;;;;;;x
mobilization_logistics;Mobilization Logistics;;;;;;;;;x
total_war_mobilization;Total War Mobilization;;;;;;;;;x
deep_defense_desc;Deep Defense;;;;;;;;;x
modern_defense_desc;Modern Defense;;;;;;;;;x
modern_divisional_tactics_desc;Modern Divisional Tactics;;;;;;;;;x
statistical_mobilization_desc;you get a mob stack, and you get a mob stack!;;;;;;;;;x
mobilization_logistics;you get a mob stack, and you get a mob stack!;;;;;;;;;x
total_war_mobilization_desc;you get a mob stack, and you get a mob stack!;;;;;;;;;x
early_game_reform_desire_militancy;Militancy for reform desire (early game);;;;;;;;;x
early_midgame_reform_desire_militancy;Militancy for reform desire (early midgame);;;;;;;;;x
late_midgame_reform_desire_militancy;Militancy for reform desire (late midgame);;;;;;;;;x
late_game_reform_desire_militancy;Militancy for reform desire (late game);;;;;;;;;x
unciv_can_mobilize_yay;Unciv mobilization buff;;;;;;;;;x
total_war;Total war;;;;;;;;;x
total_war_desc;Full siege me down;;;;;;;;;x
EGY_1751;Alexandria;;;;;;;;;x
requesting_cease_fire;Requesting Cease Fire;;;;;;;;;x
shock_infantry_activation;Shock Infantry;;;;;;;;;x
guard_activation;Guards;;;;;;;;;x
infantry_activation;Infantry;;;;;;;;;x
MOR_1695;Ifni;;;;;;;;;x
FRA_1786;Inner Senegal;;;;;;;;;x
FRA_1880;North Guinea;;;;;;;;;x
FRA_1879;South Guinea;;;;;;;;;x
FRA_1889;Inner Liberia;;;;;;;;;x
FRA_1908;Cape Coast;;;;;;;;;x
FRA_1923_two;Lagos;;;;;;;;;x
POR_2000;Congolese Coast;;;;;;;;;x
ENG_2037;Kenya Coast;;;;;;;;;x
